Column,Name,Level,Rename
Gender,Boy,1,Boy
Gender,Girl,2,Girl
Age,12 years,2,12 years
Age,13 years,3,13 years
Age,14 years,4,14 years
Age,15 years,5,15 years
Age,16 years and above,6,16+ years
Age,Upto 11 years,1,11- years
Category,0,0,0
Category,1,1,1
Category,2,2,2
Category,3,3,3
Category,4,4,4
Same language,0,0,0
Same language,1,1,1
Same language,2,2,2
Siblings,1 sibling,1,1 sibling
Siblings,2 sibling,2,2 siblings
Siblings,3 sibling,3,3 siblings
Siblings,4 and above sibling,4,4+ siblings
Siblings,Single Child,0,Single child
Handicap,0,0,Unknown
Handicap,1,1,Yes
Handicap,2,2,No
Father edu,Degree and above,5,Degree & above
Father edu,Illiterate,1,Illiterate
Father edu,Not applicable,0,Not applicable
Father edu,Primary level,2,Primary
Father edu,Secondary level,3,Secondary
Father edu,Senior secondary level,4,Sr secondary
Mother edu,Degree and above,5,Degree & above
Mother edu,Illiterate,1,Illiterate
Mother edu,Not applicable,0,Not applicable
Mother edu,Primary level,2,Primary
Mother edu,Secondary level,3,Secondary
Mother edu,Senior secondary level,4,Sr secondary
Father occupation,Clerk,4,Clerk
Father occupation,Do not know,0,Do not know
Father occupation,Farmer,3,Farmer
Father occupation,Labourer,2,Labourer
Father occupation,Manager/Senior Officer/Professional,8,Professional
Father occupation,Shopkeeper/ Businessman,6,Business
Father occupation,Skilled Worker,5,Skilled Worker
Father occupation,Teacher/Lecturer/Professor,7,Teacher/Lecturer
Father occupation,Unemployed,1,Unemployed
Mother occupation,Clerk,4,Clerk
Mother occupation,Do not know,0,Do not know
Mother occupation,Farmer,3,Farmer
Mother occupation,Labourer,2,Labourer
Mother occupation,Manager/Senior Officer/Professional,8,Professional
Mother occupation,Shopkeeper/ Businessman,6,Business
Mother occupation,Skilled Worker,5,Skilled Worker
Mother occupation,Teacher/Lecturer/Professor,7,Teacher/Lecturer
Mother occupation,Unemployed,1,Unemployed
Below poverty,Don't know,0,Don't know
Below poverty,No,1,No
Below poverty,Yes,2,Yes
Use calculator,No,1,No
Use calculator,Yes,2,Yes
Use calculator,No,1,No
Use calculator,Yes,2,Yes
Use Internet,No,1,No
Use Internet,Yes,2,Yes
Use dictionary,No,1,No
Use dictionary,Yes,2,Yes
Read other books,No,1,No
Read other books,Yes,2,Yes
# Books,11to25 books,3,11-125 books
# Books,1to10 books,2,1-10 books
# Books,More than 25 books,4,25+ books
# Books,No books,1,No books
Distance,More than 1 to 3 km,2,1-3 km
Distance,More than 3 to 5 km,3,3-5 km
Distance,More than 5 km,4,More than 5 km
Distance,Up to 1 km,1,Up to 1 km
Computer use,Daily,5,Daily
Computer use,No computer,1,No computer
Computer use,Once in a week,4,Once in a week
Computer use,Once in month,3,Once in month
Computer use,"Yes, but never use",2,"Never use"
Library use,More than once in a week,5,More than once in a week
Library use,No library,1,No library
Library use,Once in a week,4,Once in a week
Library use,Once or twice in a month,3,Once or twice in a month
Library use,"Yes, but never use",2,"Never use"
Like school,No,1,No
Like school,Yes,2,Yes
Subjects,Language,L,Language
Subjects,Mathematics,M,Mathematics
Subjects,None,0,None
Subjects,Science,S,Science
Subjects,Social Science,O,Social Science
Give Lang HW,1or2 times a week,2,1-2 times a week
Give Lang HW,3or4 times a week,3,3-4 times a week
Give Lang HW,Everyday,4,Everyday
Give Lang HW,Never,1,Never
Give Math HW,1or2 times a week,2,1-2 times a week
Give Math HW,3or4 times a week,3,3-4 times a week
